Position,Mutability,Shannon_entropy,Gap_percentage,A_percentage,T_percentage,G_percentage,C_percentage,Element,Protein
1,0.3824003318284064,0.9656933082741608,38.920440948901614,0.0018612170232226,0.0069130918005413,0.0005317762923493,61.07025296598228,5' unpaired,UTR
2,0.381145339778462,0.9636463917244248,38.6550845790193,0.0002658881461746,61.33747055288781,0.0002658881461746,0.0069130918005413,5' unpaired,UTR
3,0.3802572733702386,0.9620585577121652,38.49688113204537,0.0013294407308733,61.49966232205436,0.0002658881461746,0.0018612170232226,stem,UTR
4,0.3708049497737292,0.9384594059200264,35.44448521396019,0.0005317762923493,64.55259001643189,0.0,0.002392993315572,stem,UTR
5,0.3760588995421406,0.9845895963076934,35.22752048668166,0.0,0.5809655993916479,0.0042542103387946,64.1872597035879,stem,UTR
6,0.3698131869884977,0.9365720573903364,35.17833117963935,0.002392993315572,0.001595328877048,64.81608516929099,0.001595328877048,stem,UTR
7,0.3686353025009439,0.934446039533066,35.03661279772825,64.96312131412557,0.0,0.0002658881461746,0.0,stem,UTR
8,0.3623656600141453,0.926633051467795,34.19082260474664,0.0,65.80917739525336,0.0,0.0,interior loop & bulge,UTR
9,0.3602704614222888,0.9244243948007632,33.94407840509655,0.0,0.000797664438524,0.0,66.05512393046493,interior loop & bulge,UTR
10,0.3597094374338603,0.9236864612959338,33.87680870411435,0.0,66.12292540773947,0.0,0.0002658881461746,stem,UTR
11,0.356574616190461,0.9210235255796826,33.51998681194795,0.0,0.0058495392158426,0.0,66.47416364883621,stem,UTR
12,0.3158565054852724,0.8476913587575159,27.43513658674069,0.0,72.56459752511314,0.0,0.0002658881461746,stem,UTR
13,0.3150987242686746,0.8466066051676827,27.34845705108775,0.0,72.65047939632755,0.0,0.0010635525846986,stem,UTR
14,0.3148567660556557,0.845741266853183,27.30033129663013,0.0,0.0,72.69966870336987,0.0,stem,UTR
15,0.313646974990561,0.842619089455178,27.042419794840704,0.0,72.95412365925901,0.0,0.0034565459002706,stem,UTR
16,0.1479667533462023,0.4980590938613828,10.931991129971443,89.06694531744385,0.0,0.000797664438524,0.0002658881461746,stem,UTR
17,0.1444729831054672,0.490869494364208,10.702263771676533,0.0,0.0,89.29773622832346,0.0,stem,UTR
18,0.1429069019244984,0.4885749991331513,10.60016272354546,89.39451951353105,0.0,0.0050518747773186,0.0002658881461746,stem,UTR
19,0.1425772006232418,0.4876328793005758,10.58314588219028,0.0,89.41446112449415,0.000797664438524,0.001595328877048,stem,UTR
20,0.1425665650973948,0.4877240473005039,10.57915755999766,0.0,0.00398832219262,0.0,89.41685411780972,stem,UTR
21,0.1423511956989933,0.4873471429973369,10.567724369712147,0.0002658881461746,89.4285531962414,0.0,0.0034565459002706,multiloop,UTR
