Begin_position,End_position,Segment,Segment_begin_position,Segment_end_position,Mutability,Shannon_entropy,Gap_percentage
10367,10396,5,1658,1687,0.022812393598910297,0.1293477798426995,0.0
10368,10397,5,1659,1688,0.022812393598910297,0.1293477798426995,0.0
10369,10398,5,1660,1689,0.022812393598910297,0.1293477798426995,0.0
10364,10393,5,1655,1684,0.023493360572012095,0.1308584340654698,0.0
10365,10394,5,1656,1685,0.023493360572012095,0.1308584340654698,0.0
10366,10395,5,1657,1686,0.023493360572012095,0.1308584340654698,0.0
10363,10392,5,1654,1683,0.023833844058562995,0.1332354684169823,0.0
10353,10382,5,1644,1673,0.0251957780047666,0.1326671873743627,0.0
10354,10383,5,1645,1674,0.025536261491317498,0.1350442217258752,0.0
10352,10381,5,1643,1672,0.025876744977868398,0.1370807307711673,0.0
10357,10386,5,1648,1677,0.029622063329928294,0.1589283297129778,0.0
10356,10385,5,1647,1676,0.029622063329928294,0.1589283297129778,0.0
10355,10384,5,1646,1675,0.029622063329928294,0.15892832971297782,0.0
10376,10405,5,1667,1696,0.0296220633299283,0.15746549322444703,0.0
10371,10400,5,1662,1691,0.0299625468164792,0.15984248575629,0.0
10372,10401,5,1663,1692,0.0299625468164792,0.15984248575629,0.0
10370,10399,5,1661,1690,0.0299625468164792,0.15984248575629,0.0
10373,10402,5,1664,1693,0.0303030303030301,0.16221952010780252,0.0
10375,10404,5,1666,1695,0.0303030303030301,0.16221952010780252,0.0
10374,10403,5,1665,1694,0.0303030303030301,0.16221952010780252,0.0
10377,10406,5,1668,1697,0.0313244807626828,0.16737380128091303,0.0
13933,13962,8,811,840,0.0316603705702458,0.173995558562858,0.0
10362,10391,5,1653,1682,0.03166496424923369,0.17018438680706033,0.0
10361,10390,5,1652,1681,0.03166496424923369,0.17018438680706033,0.0
10360,10389,5,1651,1680,0.03166496424923369,0.17018438680706033,0.0
10358,10387,5,1649,1678,0.03166496424923369,0.17018438680706033,0.0
10359,10388,5,1650,1679,0.03166496424923369,0.17018438680706033,0.0
10378,10407,5,1669,1698,0.0316649642492337,0.16975083563242555,0.0
13815,13844,8,693,722,0.0323799244468422,0.17570817688271467,0.0
13931,13960,8,809,838,0.0323799244468423,0.17863058110371272,0.0
13932,13961,8,810,839,0.0323799244468423,0.17863058110371272,0.0
13814,13843,8,692,721,0.033819032200035196,0.18425848127896818,0.0
13816,13845,8,694,723,0.0345385860766317,0.18531567532180337,0.0
13813,13842,8,691,720,0.036337470768122895,0.19820438656509337,0.0
10382,10411,5,1673,1702,0.0367722165474972,0.19857400606799794,0.0
10383,10412,5,1674,1703,0.0367722165474972,0.19857400606799794,0.0
11983,12012,7,3,32,0.0378854625550655,0.19700231958515826,0.0
13935,13964,8,813,842,0.0388559093362109,0.2083849028231413,0.0
13936,13965,8,814,843,0.0388559093362109,0.2083849028231413,0.0
13934,13963,8,812,841,0.0392156862745091,0.2108823259096235,0.0
13819,13848,8,697,726,0.0392156862745091,0.2019010734724393,0.0
10379,10408,5,1670,1699,0.0394960844399044,0.20966142011729744,0.0
10381,10410,5,1672,1701,0.0394960844399044,0.20966142011729744,0.0
10380,10409,5,1671,1700,0.0394960844399044,0.20966142011729744,0.0
13937,13966,8,815,844,0.039575463212807395,0.2120284066881348,0.0
13812,13841,8,690,719,0.0399352401511054,0.21720074960331504,0.0
13938,13967,8,816,845,0.0399352401511056,0.214525829774617,0.0
10291,10320,5,1582,1611,0.0405175348995571,0.2111826808822011,0.0
13939,13968,8,817,846,0.0413743479042986,0.22307613417087052,0.0
13811,13840,8,689,718,0.04209390178089489,0.23038570285544652,0.0
13818,13847,8,696,725,0.04209390178089511,0.21834407481180418,0.0
10292,10321,5,1583,1612,0.042560435818862506,0.2228038484192111,0.0
13817,13846,8,695,724,0.0428134556574916,0.2224834314611912,0.0
13810,13839,8,688,717,0.043533009534087896,0.2389360072517,0.0
13942,13971,8,820,849,0.0435330095340882,0.23293829438674074,0.0
10290,10319,5,1581,1610,0.044262853251617,0.2574147626180329,0.0
10289,10318,5,1580,1609,0.044262853251617,0.2574147626180329,0.0
13941,13970,8,819,848,0.044612340348982905,0.23957507412260995,0.0
13940,13969,8,818,847,0.044612340348982905,0.23957507412260995,0.0
10286,10315,5,1577,1606,0.0452843037112697,0.2523765661966399,0.0
10287,10316,5,1578,1607,0.0456247871978206,0.2567901095934445,0.0
10385,10414,5,1676,1705,0.0463057541709224,0.2356260141252329,0.0
10288,10317,5,1579,1608,0.0483486550902278,0.27211889184087484,0.0
13953,13982,8,831,860,0.04838999820111471,0.27794426815778833,0.0
13952,13981,8,830,859,0.04838999820111471,0.27794426815778833,0.0
10384,10413,5,1675,1704,0.0486891385767787,0.2513052776930389,0.0
10284,10313,5,1575,1604,0.0490296220633296,0.27021585160649825,0.0
13820,13849,8,698,727,0.049649217485158506,0.2507969009579952,0.0
10285,10314,5,1576,1605,0.0497105890364314,0.27462939500330286,0.0
13821,13850,8,699,728,0.05000899442345671,0.2532943240444774,0.0
13945,13974,8,823,852,0.0501888828926059,0.2885875614168729,0.0
13944,13973,8,822,851,0.0501888828926059,0.2885875614168729,0.0
13943,13972,8,821,850,0.0501888828926059,0.2885875614168729,0.0
13948,13977,8,826,855,0.05018888289260591,0.28982083926112445,0.0
10276,10305,5,1567,1596,0.0514130064691859,0.28750881161122177,0.0
13946,13975,8,824,853,0.051627990645798906,0.2977216241325789,0.0
13951,13980,8,829,858,0.05162799064579891,0.2952872976502666,0.0
13947,13976,8,825,854,0.05198776758409711,0.3002190472190611,0.0
13949,13978,8,827,856,0.052707321460693714,0.30134017896003795,0.0
13950,13979,8,828,857,0.053067098398991916,0.30383760204652016,0.0
13955,13984,8,833,862,0.053067098398992,0.2939100078174699,0.0
9124,9153,5,415,444,0.0531154239019404,0.29206044181835095,0.0
