Begin_position,End_position,Segment,Segment_begin_position,Segment_end_position,Mutability,Shannon_entropy,Gap_percentage
2234,2263,1,2234,2263,0.029126213592232403,0.1575425582983402,0.0
2232,2261,1,2232,2261,0.029225282345947404,0.15832242461249615,0.0
2233,2262,1,2233,2262,0.029324351099662502,0.15910228030614962,0.0
2247,2276,1,2247,2276,0.036259163859717884,0.20272382216131662,0.0
2248,2277,1,2248,2277,0.03645730136714798,0.20428354416912603,0.0
2249,2278,1,2249,2278,0.03724985139686859,0.2088767941958362,0.0
2250,2279,1,2250,2279,0.03962750148603049,0.2242984469823873,0.0
2251,2280,1,2251,2280,0.04012284525460579,0.2278014504349175,0.0
2252,2281,1,2252,2281,0.04032098276203589,0.2293611724427269,0.0
2235,2264,1,2235,2264,0.040717257776896505,0.21971950787151312,0.0
2237,2266,1,2237,2266,0.04230235783633773,0.23049095813026216,0.0
2236,2265,1,2236,2265,0.04230235783633773,0.23049095813026216,0.0
2238,2267,1,2238,2267,0.042500495343767826,0.23157465134346356,0.0
2239,2268,1,2239,2268,0.0425995640974829,0.23235451411739336,0.0
2240,2269,1,2240,2269,0.042995839112343205,0.23499790809617185,0.0
2253,2282,1,2253,2282,0.04463047354864179,0.2536150245188485,0.0
2246,2275,1,2246,2275,0.04487814543292961,0.25187084563823037,0.0
2245,2274,1,2245,2274,0.04497721418664463,0.25255163611839493,0.0
2244,2273,1,2244,2273,0.04507628294035971,0.25333149889232465,0.0
2254,2283,1,2254,2283,0.04552209233207749,0.2592204796909815,0.0
2255,2284,1,2255,2284,0.046017436100652793,0.2627234831435117,0.0
2241,2270,1,2241,2270,0.056964533386169205,0.307924215133149,0.0
2242,2271,1,2242,2271,0.0577570834158898,0.31318959415657727,0.0
2243,2272,1,2243,2272,0.0579552209233199,0.31465024741067155,0.0
11677,11706,7,218,247,0.0886365368493245,0.5050943852017766,0.0
5169,5198,3,569,598,0.11766786237558671,0.6923477771546189,0.0
5170,5199,3,570,599,0.11766786237558671,0.6923477771546189,0.0
5171,5200,3,571,600,0.11776890819986802,0.6931417629714062,0.0
5172,5201,3,572,601,0.12160864952255782,0.71323529139304,0.0
5173,5202,3,573,602,0.12191178699540171,0.7152130434489815,0.0
5174,5203,3,574,603,0.12221492446824561,0.7173547590873715,0.0
11664,11693,7,205,234,0.12887737215151188,0.6205042797522692,0.0
11663,11692,7,204,233,0.12887737215151188,0.6205042797522692,0.0
11662,11691,7,203,232,0.12887737215151188,0.6205042797522692,0.0
4525,4554,2,2228,2257,0.1299801050859548,0.6650789247802394,0.0
11667,11696,7,208,237,0.13085892843533176,0.6277379779672054,0.0
11665,11694,7,206,235,0.13101135584177936,0.628890499125635,0.0
11666,11695,7,207,236,0.13101135584177936,0.628890499125635,0.0
4539,4568,2,2242,2271,0.1316635208896585,0.7567526865469963,0.0
4526,4555,2,2229,2258,0.13181655868999492,0.6756669009902995,0.0
11668,11697,7,209,238,0.13223077509336087,0.6367310479294427,0.0
11669,11698,7,210,239,0.13238320249980848,0.6378835690878721,0.0
4527,4556,2,2230,2259,0.13304086109268845,0.683267684308598,0.0
11671,11700,7,212,241,0.13345019434494218,0.6422384539572097,0.0
11672,11701,7,213,242,0.13345019434494218,0.6422384539572097,0.0
11673,11702,7,214,243,0.1336026217513898,0.6433909751156391,0.0
11670,11699,7,211,240,0.13390747656428517,0.6476166364546172,0.0
4543,4572,2,2246,2275,0.1361526296995345,0.7975868554095991,0.0051012600112227
11661,11690,7,202,231,0.13680359728679117,0.6560597736339391,0.0
11659,11688,7,200,229,0.13756573431902958,0.6606401544029951,0.0
11660,11689,7,201,230,0.13787058913192488,0.6629451883392801,0.0
4544,4573,2,2247,2276,0.1387032597051459,0.8118558207419898,0.0102025200224454
4524,4553,2,2227,2256,0.13875427230525803,0.7302895129883858,0.0
4540,4569,2,2243,2272,0.13911136050604378,0.7952676567119493,0.0
4523,4552,2,2226,2255,0.13967249910727814,0.7362987931135673,0.0
4541,4570,2,2244,2273,0.1401316125082883,0.8020779083761865,0.0
4542,4571,2,2245,2274,0.1423761669132263,0.814993080474441,0.0
4537,4566,2,2240,2269,0.1466612253226535,0.8537293193237775,0.0
4536,4565,2,2239,2268,0.1480895781257958,0.8632796068947002,0.0
4538,4567,2,2241,2270,0.1490078049278159,0.8660093719444699,0.0
11675,11704,7,216,245,0.15875314381525688,0.760901788393322,0.0
11676,11705,7,217,246,0.1590579986281523,0.7627495065854122,0.0
11674,11703,7,215,244,0.15936285344104759,0.7653593953345925,0.0
4545,4574,2,2248,2277,0.1610467785543017,0.9461490232781081,0.015303780033668099
4546,4575,2,2249,2278,0.1725246135795529,1.0822138804234427,0.0204050400448908
6678,6707,3,2078,2107,0.17875006315363967,0.8224965189827909,0.0
6679,6708,3,2079,2108,0.18370130854342387,0.8483691364360506,0.0
6680,6709,3,2080,2109,0.1838023543677052,0.8491631185700793,0.0
6681,6710,3,2081,2110,0.18430758348911178,0.8520957358724358,0.0
6682,6711,3,2082,2111,0.18481281261051827,0.8564554122309357,0.0
6683,6712,3,2083,2112,0.18481281261051827,0.8564554122309357,0.0
4522,4551,2,2225,2254,0.1877773810131089,1.0610781264043523,0.0
4535,4564,2,2238,2267,0.1893077590164757,1.0586707589649758,0.0
4534,4563,2,2237,2266,0.1894097842167001,1.0594717305040315,0.0
4528,4557,2,2231,2260,0.19359281742590273,1.0798201246459107,0.0
4533,4562,2,2236,2265,0.1971636994337587,1.0974704184868327,0.0
4532,4561,2,2235,2264,0.1975718002346565,1.1007137253200119,0.0
4530,4559,2,2233,2262,0.1980819262357788,1.103817000802039,0.0
4531,4560,2,2234,2263,0.19828597663622774,1.1051378421376203,0.0
4529,4558,2,2232,2261,0.19910217823802334,1.1101319453222398,0.0
11592,11621,7,133,162,0.1994512613367872,0.9747013215069531,0.0
11587,11616,7,128,157,0.2018900998399501,0.9554438834156688,0.0
11589,11618,7,130,159,0.2023473820592931,0.9587489943421484,0.0
11588,11617,7,129,158,0.2023473820592931,0.9587489943421484,0.0
11591,11620,7,132,161,0.2032619464979792,0.9960317580390865,0.0
11590,11619,7,131,160,0.2044813657495606,1.0040044913360617,0.0
5187,5216,3,587,616,0.205981912797453,1.2497251035534205,0.0
5188,5217,3,588,617,0.2060829586217343,1.2505190893702078,0.0
3520,3549,2,1223,1252,0.2118553282660814,1.3307992412771599,0.0
3521,3550,2,1224,1253,0.2119573534663058,1.3316002128162157,0.0
3522,3551,2,1225,1254,0.21205937866653018,1.3324011843552714,0.0
5178,5207,3,578,607,0.21699590764411592,1.2545571051482083,0.0
5179,5208,3,579,608,0.21820845753549162,1.262185564352657,0.0
5180,5209,3,580,609,0.21952205325114862,1.2700766517826023,0.0
5177,5206,3,577,606,0.22022937402111792,1.273433804282606,0.0
5176,5205,3,576,605,0.22053251149396183,1.275575519920996,0.0
11584,11613,7,125,154,0.2207910982394623,1.046572940993393,0.0
11585,11614,7,126,155,0.22094352564591002,1.047363057805083,0.0
11586,11615,7,127,156,0.22094352564591002,1.047363057805083,0.0
5175,5204,3,575,604,0.22144192391249362,1.2812798750960817,0.0
2370,2399,2,73,102,0.22180278528796546,1.3563242330441898,0.0
2369,2398,2,72,101,0.22180278528796546,1.3563242330441898,0.0
2368,2397,2,71,100,0.22190481048818986,1.3571252045832456,0.0
5183,5212,3,583,612,0.22204819885818153,1.320949385110804,0.0
5186,5215,3,586,615,0.22225029050674422,1.319592449267844,0.0
5182,5211,3,582,611,0.22245238215530672,1.3238850755171476,0.0
5181,5210,3,581,610,0.22285656545243193,1.3268589050384392,0.0
5185,5214,3,585,614,0.22336179457383865,1.3268733100151942,0.0
5184,5213,3,584,613,0.22366493204668253,1.3288510620711356,0.0
11582,11611,7,123,152,0.22643091227802642,1.0756519852869657,0.0
11583,11612,7,124,153,0.22643091227802642,1.0756519852869657,0.0
11581,11610,7,122,151,0.22673576709092172,1.0779570192232506,0.0
2199,2228,1,2199,2228,0.24534376857539034,1.1128863823042725,0.014860313057261699
2201,2230,1,2201,2230,0.2454428373291054,1.1137653032112396,0.0099068753715078
2200,2229,1,2200,2229,0.2455419060828205,1.1144460901511781,0.014860313057261699
2375,2404,2,78,107,0.2519002193541797,1.5419586490355097,0.0
2374,2403,2,77,106,0.2519002193541797,1.5419586490355097,0.0
2376,2405,2,79,108,0.2519002193541797,1.5419586490355097,0.0
4520,4549,2,2223,2252,0.2521552823547403,1.3906877673661096,0.0
4521,4550,2,2224,2253,0.2522573075549648,1.3913867099504453,0.0
4519,4548,2,2222,2251,0.2537876855583316,1.400936877328445,0.0
5189,5218,3,589,618,0.2565553478502494,1.5648734998783602,0.0
2231,2260,1,2231,2260,0.2569843471369123,1.1149369130361784,0.0
2230,2259,1,2230,2259,0.25698434713691237,1.1150359817898934,0.0
2229,2258,1,2229,2258,0.25738062215177265,1.1180563428908934,0.0
2366,2395,2,69,98,0.2590419833698916,1.6167952400668768,0.0
2367,2396,2,70,99,0.259144008570116,1.6175962116059326,0.0
2365,2394,2,68,97,0.259144008570116,1.6175962116059326,0.0
2371,2400,2,74,103,0.26006223537213624,1.5914792395728439,0.0
2373,2402,2,76,105,0.26036831097280955,1.5937801177261082,0.0
2372,2401,2,75,104,0.26036831097280955,1.5937801177261082,0.0
2228,2257,1,2228,2257,0.2614424410540907,1.1403612950657158,0.0
2227,2256,1,2227,2256,0.26164057856152084,1.1419210170735252,0.0
2226,2255,1,2226,2255,0.26164057856152084,1.1419210170735252,0.0
2225,2254,1,2225,2254,0.26382009114325256,1.1553315039610634,0.0
2224,2253,1,2224,2253,0.2639191598969676,1.1561113667349932,0.0
6645,6674,3,2045,2074,0.2681250947304591,1.6321725745510072,0.0
3572,3601,2,1275,1304,0.2687343773912145,1.6973639255261372,0.0
3573,3602,2,1276,1305,0.2687343773912145,1.6973639255261372,0.0
6646,6675,3,2046,2075,0.2692365987975535,1.6395266883040327,0.0
6647,6676,3,2047,2076,0.2693376446218348,1.64032067412082,0.0
2223,2252,1,2223,2252,0.2732811571230424,1.2004108240220153,0.0
3571,3600,2,1274,1303,0.2769984186093953,1.7376134978749629,0.0
11518,11547,7,59,88,0.2893834311409182,1.254303188861251,0.0
11519,11548,7,60,89,0.2893834311409182,1.254303188861251,0.0
3569,3598,2,1272,1301,0.28964954343722776,1.92063179092289,0.0
2222,2251,1,2222,2251,0.28972657023974535,1.27879607932585,0.0
2221,2250,1,2221,2250,0.28992470774717544,1.2803558013336593,0.0
3568,3597,2,1271,1300,0.29199612304239025,1.934732385295475,0.0
3796,3825,2,1499,1528,0.29240422384328835,1.7579295148443967,0.0
11521,11550,7,62,91,0.2925081929730956,1.2751712559002564,0.0
3570,3599,2,1273,1302,0.29311840024485925,1.9405506632904292,0.0
11522,11551,7,63,92,0.29723344257297357,1.3000156697257448,0.0
11523,11552,7,64,93,0.29723344257297357,1.3000156697257448,0.0
